willis goldsmith,0.6976981351981353,Word,Year,Filename
sandra oconnor,Non,ARGUMENT,1998,1998_ARGUMENT0.wav
sandra oconnor,Non,FEDERAL,1998,1998_FEDERAL0.wav
sandra oconnor,Non,ARGUMENT,1998,1998_ARGUMENT1.wav
sandra oconnor,Non,FEDERAL,1998,1998_FEDERAL1.wav
david souter,Non,GOVERNMENT,1998,1998_GOVERNMENT0.wav
david souter,Non,JUSTICE,1998,1998_JUSTICE0.wav
david souter,Non,ISSUE,1998,1998_ISSUE0.wav
antonin scalia,Non,EVIDENCE,1998,1998_EVIDENCE0.wav
antonin scalia,Non,EVIDENCE,1998,1998_EVIDENCE1.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL2.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL3.wav
antonin scalia,Non,EVIDENCE,1998,1998_EVIDENCE2.wav
antonin scalia,Non,EVIDENCE,1998,1998_EVIDENCE3.wav
antonin scalia,Non,JUSTICE,1998,1998_JUSTICE1.wav
antonin scalia,Non,JUSTICE,1998,1998_JUSTICE2.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL4.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL5.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL6.wav
antonin scalia,Non,CONGRESS,1998,1998_CONGRESS0.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL7.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL8.wav
antonin scalia,Non,HONOR,1998,1998_HONOR0.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL9.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL10.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL11.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL12.wav
antonin scalia,Non,GOVERNMENT,1998,1998_GOVERNMENT1.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL13.wav
antonin scalia,Non,ISSUE,1998,1998_ISSUE1.wav
antonin scalia,Non,GOVERNMENT,1998,1998_GOVERNMENT2.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL14.wav
antonin scalia,Non,HONOR,1998,1998_HONOR1.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL15.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL16.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL17.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL18.wav
antonin scalia,Non,ISSUE,1998,1998_ISSUE2.wav
antonin scalia,Non,EVIDENCE,1998,1998_EVIDENCE4.wav
antonin scalia,Non,EVIDENCE,1998,1998_EVIDENCE5.wav
antonin scalia,Non,EVIDENCE,1998,1998_EVIDENCE6.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL19.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL20.wav
antonin scalia,Non,ISSUE,1998,1998_ISSUE3.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL21.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL22.wav
antonin scalia,Non,ISSUE,1998,1998_ISSUE4.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL23.wav
antonin scalia,Non,GOVERNMENT,1998,1998_GOVERNMENT3.wav
antonin scalia,Non,JUSTICE,1998,1998_JUSTICE3.wav
antonin scalia,Non,JUSTICE,1998,1998_JUSTICE4.wav
antonin scalia,Non,HONOR,1998,1998_HONOR2.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL24.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL25.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL26.wav
antonin scalia,Non,FEDERAL,1998,1998_FEDERAL27.wav
antonin scalia,Non,HONOR,1998,1998_HONOR3.wav
antonin scalia,Non,HONOR,1998,1998_HONOR4.wav
antonin scalia,Non,HONOR,1998,1998_HONOR5.wav
antonin scalia,Non,ARGUMENT,1998,1998_ARGUMENT2.wav
antonin scalia,Non,ARGUMENT,1998,1998_ARGUMENT3.wav
antonin scalia,Non,ARGUMENT,1998,1998_ARGUMENT4.wav
antonin scalia,Non,ARGUMENT,1998,1998_ARGUMENT5.wav
antonin scalia,Non,ARGUMENT,1998,1998_ARGUMENT6.wav
john stevens,0.28797816531883524,ARGUMENT,1998,1998_ARGUMENT7.wav
john stevens,0.28797816531883524,ISSUE,1998,1998_ISSUE5.wav
john stevens,0.28797816531883524,ISSUE,1998,1998_ISSUE6.wav
carter phillips,0.0,JUSTICE,1998,1998_JUSTICE5.wav
